Block,Street,Address,Zip,Trade Name,Corp Name,License
917-19,36TH STREET WEST,917-19 36TH STREET WEST,21211,FRAZIER'S ON THE AVENUE,F.P. FIFTY-FIVE CORPORATION,LB
1009,36TH STREET WEST,1009 36TH STREET WEST,21211,SUZIE'S SOBA,"SUE-BOK, INC.",LB
1011,36TH STREET WEST,1011 36TH STREET WEST,21211,MOUNT EVEREST RESTAURANT,"GANESH BHAGWAH, INC.",LB
1014,36TH STREET WEST,1014 36TH STREET WEST,21211,HAMPDEN YARDS,"HAMPDEN EVENTS, LLC",LBD7
1017,36TH STREET WEST,1017 36TH STREET WEST,21211,FOOD MARKET,"MARKET 450, LLC",LB
1023,36TH STREET WEST,1023 36TH STREET WEST,21211,ZISSIMOS BAR,"KITSOS, LLC",LBD7
1031,36TH STREET WEST,1031 36TH STREET WEST,21211,GRANO PASTA BAR,"PATEYOLI, LLC",LB
1101,36TH STREET WEST,1101 36TH STREET WEST,21211,SOUVLAKI,"SOUVLAKI RESTAURANT ENTERPRISES, LLC",LB
1105,36TH STREET WEST,1105 36TH STREET WEST,21211,GOLDEN WEST CAFE,"GOLDEN WEST CAFE, INC.",LB
1115,36TH STREET WEST,1115 36TH STREET WEST,21211,THE ARTHOUSE,"THE ARTHOUSE, LLC",LB
1117,36TH STREET WEST,1117 36TH STREET WEST,21211,CORKSCREW,"BRENOLOGY SANGRIA WINE COMPANY, LLC",LB
1117-19,36TH STREET WEST,1117-19 36TH STREET WEST,21211,13.5% WINE BAR,"MLJ, INC.",LBD7
1506,36TH STREET WEST,1506 36TH STREET WEST,21211,CHUCK'S TRADING POST,"BALTAMORE BODEGA, LLC",LB
711,40TH STREET WEST,711 40TH STREET WEST,21211,WAREHOUSE CINEMAS,"WAREHOUSE CINEMAS-ROTUNDA, LLC",LB
727,40TH STREET WEST,727 40TH STREET WEST,21211,18-8 SUSHI,"MC HOUSE, LLC",LB
830,40TH STREET WEST,830 40TH STREET WEST,21211,ROLAND PARK PLACE,"ROLAND PARK PLACE, INC.",LB
711,40TH STREET WEST SUITE 100,711 40TH STREET WEST SUITE 100,21211,MEDIUM RARE,"MEDIUM RARE BALTIMORE, LLC",LB
1030 F-1,41ST STREET WEST,1030 F-1 41ST STREET WEST,21211,YAMA SUSHI BAR,YAMA SUSHI BAR BALTIMORE CORP.,WB
1700,41ST STREET WEST,1700 41ST STREET WEST,21211,UNION CRAFT BREWING,"UNION CRAFT BREWING COMPANY, LLC",D
1700,41ST STREET WEST,1700 41ST STREET WEST,21211,BALTIMORE SPIRITS COMPANY,"BALTIMORE WHISKEY COMPANY, LLC",DP
5658,ALAMEDA,5658 ALAMEDA,21239,BELVEDERE PLAZA LIQUORS,"S&S LIQUORS, LLC",LA
222,ALBEMARLE STREET,222 ALBEMARLE STREET,21202,VACCARO'S ITALIAN PASTRY SHOP,"VACCARO'S ITALIAN PASTRY SHOP, INC.",LB
246-48,ALBEMARLE STREET,246-48 ALBEMARLE STREET,21202,LA TAVOLA RISTORANTE ITALIANO,"BADA BING! BADA BOOM!, INC.",LB
700,ALICEANNA STREET,700 ALICEANNA STREET,21202,BALTIMORE MARRIOTT WATERFRONT HOTEL,"MARRIOTT HOTEL SERVICES, LLC",LBHM
800,ALICEANNA STREET,800 ALICEANNA STREET,21202,HARBOR EAST CINEMAS,"HARBOR EAST CINEMAS, LLC",LBD7
801,ALICEANNA STREET,801 ALICEANNA STREET,21202,OCEANAIRE SEAFOOD ROOM,"OCEANAIRE RESTAURANT COMPANY, INC.",LBD7
1000,ALICEANNA STREET,1000 ALICEANNA STREET,21202,COURTYARD BY MARRIOTT-COURTYARD CAFE,"CRESTLINE HOTELS & RESORTS, INC.-BALTIMORE",LBHM
1006,ALICEANNA STREET,1006 ALICEANNA STREET,21202,HARBOR EAST DELICATESSEN,"MADCOW, LLC",LB
1010,ALICEANNA STREET,1010 ALICEANNA STREET,21202,BAMBAO,"BAMBAO HARBOR EAST, LLC",LB
1634,ALICEANNA STREET,1634 ALICEANNA STREET,21231,SUSHI BRUCEYA,"SHOYOU CANTON, INC.",LB
1640,ALICEANNA STREET,1640 ALICEANNA STREET,21231,EVEREST SPICE BAR & GRILL,"K AND K GROUP, LLC",LB
1703-05,ALICEANNA STREET,1703-05 ALICEANNA STREET,21231,PAPI'S,"PAPI'S TACOS, LLC",LB
1710,ALICEANNA STREET,1710 ALICEANNA STREET,21231,FULL MOON SALOON,"MARDI GRAS, INC.",LBD7
1712,ALICEANNA STREET,1712 ALICEANNA STREET,21231,BIRDS OF A FEATHER,"BIRDS OF A FEATHER, INC.",LD
1822,ALICEANNA STREET,1822 ALICEANNA STREET,21231,PIERPOINT RESTAURANT,"KLM ENTERPRISES, INC.",LB
1900,ALICEANNA STREET,1900 ALICEANNA STREET,21231,LOBO,"LOBO, LLC",LD
1909-13,ALICEANNA STREET,1909-13 ALICEANNA STREET,21231,DARBAR RESTAURANT,"BEST THAI, INC.",LB
2116-30,ALICEANNA STREET,2116-30 ALICEANNA STREET,21231,BAYVIEW/CAPTAIN JAMES LANDING RESTAURANT,"NESTOS CONTRACTING COMPANY, INC.",LB
1641,ALICEANNA STREET #105,1641 ALICEANNA STREET #105,21231,CHOPTANK RESTAURANT,"FELLS POINT VENTURE, LLC",LB
1371,ANDRE STREET,1371 ANDRE STREET,21230,E.A.T. (EGGROLLS AND TACOS),"EAT GROUP, LLC",LBD7
459,ANGLESEA STREET,459 ANGLESEA STREET,21224,PIER LIQUOR,"CHANAN LIQUOR, INC.",LA
905,ANN STREET  SOUTH,905 ANN STREET  SOUTH,21231,V-NO WINE BAR,"V-NO WINE, LLC",LBD7
301,ANN STREET SOUTH,301 ANN STREET SOUTH,21231,BENDERS,"BENDERS TAVERN, LLC",LBD7
504,ANN STREET SOUTH,504 ANN STREET SOUTH,21231,PETER'S INN,"PETER'S INN, INC.",LD
801-03,ANN STREET SOUTH,801-03 ANN STREET SOUTH,21231,BUNNY'S,"RISKY BISCUITS,LLC",LBD7
903,ANN STREET SOUTH,903 ANN STREET SOUTH,21231,PITANGO BAKERY,"PITANGO PASTRY, LLC",LB
907,ANN STREET SOUTH,907 ANN STREET SOUTH,21231,NANAMI CAFE,"SYEONG, INC.",WD
3434,ANNAPOLIS ROAD,3434 ANNAPOLIS ROAD,21227,PATAPSCO VILLAGE LIQUORS,"BAJRANGI, LLC.",LA
2244-46,ANNAPOLIS ROAD,2244-46 ANNAPOLIS ROAD,21230,WESTPORT LIQUORS,"SOUTH BALTIMORE LIQUORS, INC.",LA
2839,ANNAPOLIS ROAD,2839 ANNAPOLIS ROAD,21230,HOLLINSWOOD INN LIQUOR & BAR,"PBG, LLC",LBD7
3301,ANNAPOLIS ROAD,3301 ANNAPOLIS ROAD,21230,PATAPSCO FLEA MARKET,"MANAGEMENT, INC.",LBAL
3311,ANNAPOLIS ROAD,3311 ANNAPOLIS ROAD,21230,NORTENO BAR,"NORTENO BAR, INC.",LBD7
26,ARLINGTON STREET SOUTH,26 ARLINGTON STREET SOUTH,21223,MULBERRY,"THE ARCADE X, LLC",LB
10,ART MUSEUM DRIVE,10 ART MUSEUM DRIVE,21218,GERTRUDE'S RESTAURANT,"SHIELDS-WORTHINGTON, LLC",LB
1923,ASHLAND AVENUE,1923 ASHLAND AVENUE,21205,PETER CHANG,"PETER ZHANG BALTIMORE, LLC",LB
2738,BAKER STREET,2738 BAKER STREET,21216,SPECIAL P'S BAR & LOUNGE,"SPECIAL P'S, LLC",LD
1807-11,BAKER STREET,1807-11 BAKER STREET,21217,WHISPERS,"ARIK,INC",LBD7
135,BALTIMORE STREET EAST,135 BALTIMORE STREET EAST,21202,ZANDERS,"ZANDERS, LLC",LB
231,BALTIMORE STREET EAST,231 BALTIMORE STREET EAST,21202,THE AMERICAN WINE SPIRIT AND BAR,"RGMM, LLC",LBD7
403-05,BALTIMORE STREET EAST,403-05 BALTIMORE STREET EAST,21202,INDULGE NIGHT CLUB,"DON WEST MANAGEMENT SERVICES, LLC",AE
408,BALTIMORE STREET EAST,408 BALTIMORE STREET EAST,21202,LUST,"LUST ENTERTAINMENT, LLC",LBD7
411,BALTIMORE STREET EAST,411 BALTIMORE STREET EAST,21202,CLUB PUSSYCAT,"SAVOY MANAGEMENT SERVICES, LLC",AE
412,BALTIMORE STREET EAST,412 BALTIMORE STREET EAST,21202,GAYETY LIQUORS,"AR FAMILY MANAGEMENT, INC.",LA
414-16,BALTIMORE STREET EAST,414-16 BALTIMORE STREET EAST,21202,DOWNTOWN LOUNGE,"FOUR ONE FOUR, LLC",AE
414-16,BALTIMORE STREET EAST,414-16 BALTIMORE STREET EAST,21202,2 O'CLOCK CLUB,"NEW 2 O'CLOCK CLUB, INC.",LBD7
415,BALTIMORE STREET EAST,415 BALTIMORE STREET EAST,21202,BOTTOMS UP GENTLEMEN'S CLUB,"BOTTOMS UP GENTLEMEN'S CLUB, LLC",AE
415,BALTIMORE STREET EAST,415 BALTIMORE STREET EAST,21202,CHEZ JOEY,"CHEZ JOEY, LLC",AE
417,BALTIMORE STREET EAST,417 BALTIMORE STREET EAST,21202,POLE PLAY LOUNGE,,AE
419,BALTIMORE STREET EAST,419 BALTIMORE STREET EAST,21202,JEWEL BOX,"419 E. BALTIMORE ST., INC.",AE
425,BALTIMORE STREET EAST,425 BALTIMORE STREET EAST,21202,CLUB HAREM,"425 EAST BALTIMORE STREET, INC.",AE
427,BALTIMORE STREET EAST,427 BALTIMORE STREET EAST,21202,CIRCUS BAR,"SILVERLUD, INC.",AE
2901,BALTIMORE STREET EAST,2901 BALTIMORE STREET EAST,21224,PATTERSON PUBLIC HOUSE,THE LANPHEAR COMPANY,LBD7
3100,BALTIMORE STREET EAST,3100 BALTIMORE STREET EAST,21224,RIZE + REST CAFE,"SEPTEMBER TREES, LLC",LB
3527-29,BALTIMORE STREET EAST,3527-29 BALTIMORE STREET EAST,21224,ECHO BAR & GRILL,"JOHENNCY, INC.",LBD7
1645,BALTIMORE STREET EAST,1645 BALTIMORE STREET EAST,21231,BROADWAY LIQUORS,"YANGS, LLC",LA
20-30,BALTIMORE STREET WEST,20-30 BALTIMORE STREET WEST,21201,LORD BALTIMORE HOTEL,LB 1928 ASSOCIATES LLC,LBHM
201,BALTIMORE STREET WEST,201 BALTIMORE STREET WEST,21201,BALTIMORE ARENA,"OVATIONS FOOD SERVICES OF MARYLAND, LLC",LBAL
401,BALTIMORE STREET WEST,401 BALTIMORE STREET WEST,21201,MIRAGE,"ULTRA LOUNGE, LLC",LBD7
421,BALTIMORE STREET WEST,421 BALTIMORE STREET WEST,21201,NANDO'S PERI PERI,"NANDO'S 421 WEST, LLC",LB
1231-33,BALTIMORE STREET WEST,1231-33 BALTIMORE STREET WEST,21223,SHUSTER'S LIQUOR,"HYUN REE, INC.",LA
1400,BALTIMORE STREET WEST,1400 BALTIMORE STREET WEST,21223,GREEN TREE LIQUORS,"DOBIG,INC",LA
1538,BALTIMORE STREET WEST,1538 BALTIMORE STREET WEST,21223,B&G CUTRATE,"B & G LIQUOR, INC.",LA
1600,BALTIMORE STREET WEST,1600 BALTIMORE STREET WEST,21223,RICHIE'S LOUNGE,"RICHIE'S ENTERTAINMENT, LLC",LBD7
2300,BALTIMORE STREET WEST,2300 BALTIMORE STREET WEST,21223,CLUB 2300,2300 W BALTIMORE ST L.L.C.,LBD7
2301,BALTIMORE STREET WEST,2301 BALTIMORE STREET WEST,21223,CLUB INTERNATIONAL,"CLUB INTERNATIONAL, LLC",LBD7
2432,BALTIMORE STREET WEST,2432 BALTIMORE STREET WEST,21223,CLUB CLIMAX,,LBD7
3102,BALTIMORE STREET WEST,3102 BALTIMORE STREET WEST,21229,BEST HILTON LIQUORS,"BEST HILTON LIQUORS, INC.",LA
1300,BANK STREET,1300 BANK STREET,21231,MUSTANG ALLEY'S,"MUSTANG ALLEY, LLC",LB
1810-12,BANK STREET,1810-12 BANK STREET,21231,LITTLE DONNA'S,"GE GE, LLC",LD
1901,BANK STREET,1901 BANK STREET,21231,SPIRITS TAVERN,"SPIRITS, INC.",LD
708,BAYLIS STREET SOUTH,708 BAYLIS STREET SOUTH,21224,SANDMAN'S,"SEAN'S SANDMAN,INC.",LBD7
6401,BECKLEY STREET,6401 BECKLEY STREET,21224,BALTIMORE VETERANS ASSOCIATION,"BALTIMORE VETERANS ASSOCIATION, INC.",LC
4200,BELAIR ROAD,4200 BELAIR ROAD,21206,SLIM'S LIQUOR HUB,"SLIM'S LIQUOR HUB, LLC",LBD7
4201,BELAIR ROAD,4201 BELAIR ROAD,21206,BERTHA'S SOUL FOOD BAR & GRILL,"BERTHA'S SOUL FOOD BAR & GRILL, LLC",LB
4300,BELAIR ROAD,4300 BELAIR ROAD,21206,SHAMROCK LIQUORS,"TOWNES BROTHERS, INC.",LA
4325-27,BELAIR ROAD,4325-27 BELAIR ROAD,21206,SHELDON LOUNGE,"SHELDON 2021, INC.",LBD7
4507-09,BELAIR ROAD,4507-09 BELAIR ROAD,21206,TRUTH LOUNGE 2,"TYE SMITH, INC.",LBD7
4901 1/2,BELAIR ROAD,4901 1/2 BELAIR ROAD,21206,HAM'S LIQUORS & GROCERY,"HAM'S LIQUORS, INC.",LA
4919,BELAIR ROAD,4919 BELAIR ROAD,21206,GOOD FELLAS LOUNGE,"UZO, LLC",LB
5401,BELAIR ROAD,5401 BELAIR ROAD,21206,GARDEN LIQUOR,"5401 BELAIR, INC.",LA
5523,BELAIR ROAD,5523 BELAIR ROAD,21206,NEW BERGERS ONE TAVERN,"NEW R&J, LLC",LBD7
5616,BELAIR ROAD,5616 BELAIR ROAD,21206,BMORE LOUNGE,"5616 BEL, INC.",LBD7
5707,BELAIR ROAD,5707 BELAIR ROAD,21206,CELESTIAL CAFE,"CELESTIAL CATERING, INC",LB
6001,BELAIR ROAD,6001 BELAIR ROAD,21206,N/A,SECURED CREDITOR,LBD7
6037,BELAIR ROAD,6037 BELAIR ROAD,21206,MIXERS,"ALIEN ARC,LLC",LBD7
6130,BELAIR ROAD,6130 BELAIR ROAD,21206,THE LIQUOR STORE-SOCIALIZE,"MANJIT, INC. THREE",LBD7
6317-19,BELAIR ROAD,6317-19 BELAIR ROAD,21206,BIRDLAND SPORTS BAR & GRILL,"BIRDLAND SPORTS BAR & GRILL, LLC",LB
6506-10,BELAIR ROAD,6506-10 BELAIR ROAD,21206,CITY LINE BAR & GRILL,"CITY LINE FOOD, INC.",LBD7
6605,BELAIR ROAD,6605 BELAIR ROAD,21206,COACH HOUSE INN,"E.C. FLOSSIE, INC.",LBD7
6622,BELAIR ROAD,6622 BELAIR ROAD,21206,"SIX PAX ""N"" MORE","BAPS ENTERPRISE, LLC",LA
6656,BELAIR ROAD,6656 BELAIR ROAD,21206,KWIK MART,KWIK MARTS INC.,LBD7
2008,BELAIR ROAD,2008 BELAIR ROAD,21213,DDL LOUNGE,"DDL LOUNGE, LLC",LBD7
2401,BELAIR ROAD,2401 BELAIR ROAD,21213,LIQUOR DEPOT,2401 CORPORATION,LA
3209,BELAIR ROAD,3209 BELAIR ROAD,21213,4 BROTHERS BAR & GRILL,"4 BROTHERS, LLC",LBD7
3243-45,BELAIR ROAD,3243-45 BELAIR ROAD,21213,CROSS TOWN LIQUORS,"3245 BELAIR ROAD, LLC",LA
3600,BELAIR ROAD,3600 BELAIR ROAD,21213,BELAIR DISCOUNT LIQUORS,"MANKAMANA, LLC",LA
6242,BELLONA AVENUE,6242 BELLONA AVENUE,21212,PINEHURST GOURMET & WINE SHOPPE,"PINEHURST WINE SHOPPE, LLC",LA
2908,BELMONT AVENUE,2908 BELMONT AVENUE,21216,BELMONT LIQUORS,"MYONG & YONG, INC.",LA
1747-49,BELT STREET,1747-49 BELT STREET,21230,PARK BENCH,1747 BELT CORPORATION,LBD7
510,BELVEDERE AVENUE EAST,510 BELVEDERE AVENUE EAST,21212,KOBA KOREAN CHARCOAL GRILL,Z & Y CORPORATION,LB
529,BELVEDERE AVENUE EAST,529 BELVEDERE AVENUE EAST,21212,EJJI,"RAYCLIFF TENZIN,LLC",WB
529,BELVEDERE AVENUE EAST,529 BELVEDERE AVENUE EAST,21212,ATWATER'S,"BREAD & BUTTER, LLC",LB
3716,BELVEDERE AVENUE WEST,3716 BELVEDERE AVENUE WEST,21215,NORTH CAFE,"MK LIQUORS, LLC",LBD7
3912-14,BELVEDERE AVENUE WEST,3912-14 BELVEDERE AVENUE WEST,21215,SUNSPOT LIQUORS,"HK, INC.",LA-2
482,BENTALOU STREET SOUTH,482 BENTALOU STREET SOUTH,21223,ROSIE'S SPORTS BAR,"THREE K PARTNERS, LLC",LBD7
205,BIDDLE STREET EAST,205 BIDDLE STREET EAST,21202,MAGDALENA,"RESTAURANT MAGDALENA, LLC",LB
2100,BIDDLE STREET EAST,2100 BIDDLE STREET EAST,21213,BIDDLE LIQUORS,"G.S. LOCKER, INC.",LA-2
2301,BIDDLE STREET EAST,2301 BIDDLE STREET EAST,21213,OK TAVERN,"JRC23, INC.",LBD7
2500,BIDDLE STREET EAST,2500 BIDDLE STREET EAST,21213,M & M LOUNGE,"MYONGNAM, INC.",LBD7
1501,BOLTON STREET,1501 BOLTON STREET,21217,COOKHOUSE,"COOKHOUSE,LLC",LB
529,BOND STREET SOUTH,529 BOND STREET SOUTH,21231,SOUTHPAW COCKTAILS,"BOND MAKE HAY, LLC",LBD7
701,BOND STREET SOUTH,701 BOND STREET SOUTH,21231,BONDHOUSE,"BJB-1, INC.",LBD7
708,BOND STREET SOUTH,708 BOND STREET SOUTH,21231,ONE-EYED MIKE'S,"EAPEN, INC.",LB
814-16,BOND STREET SOUTH,814-16 BOND STREET SOUTH,21231,BLACK OLIVE,"OLIVE GROVE CATERING, INC.",LB
901,BOND STREET SOUTH,901 BOND STREET SOUTH,21231,BAJA TAP,"BAJA TAP BALTIMORE, LLC",LB
2300-02,BOSTON STREET,2300-02 BOSTON STREET,21224,JUDY'S ISLAND GRILL,"JUDY'S ISLAND GRILL CANTON, LLC",LBD7
2322,BOSTON STREET,2322 BOSTON STREET,21224,NIHAO,"LITTLE CHANG, LLC",LBD7
2324-32,BOSTON STREET,2324-32 BOSTON STREET,21224,BALTIMORE SEAFOOD,"BALTIMORE CRAB HOUSE, INC",LB
2334,BOSTON STREET,2334 BOSTON STREET,21224,CANTON MARKET,"CAMDEN MARKET, LLC",LA
2400,BOSTON STREET,2400 BOSTON STREET,21224,OUTBACK STEAKHOUSE,"OUTBACK STEAKHOUSE OF CANTON, INC.",LB
2701,BOSTON STREET,2701 BOSTON STREET,21224,RAW & REFINED,"2760 LIGHTHOUSE POINT, LLC",LBD7
2711,BOSTON STREET,2711 BOSTON STREET,21224,OASIS MARINA AT LIGHTHOUSE POINT,"PHAROS MARINE, LLC",LB
2780,BOSTON STREET,2780 BOSTON STREET,21224,BO BROOKS,"BOSTON STREET SEAFOOD, LLC",LBD7
2809,BOSTON STREET,2809 BOSTON STREET,21224,BAY CAFE & CANTINA,"BAYSIDE CANTINA, LLC",LBD7
3401,BOSTON STREET,3401 BOSTON STREET,21224,MERRITT ATHLETIC CLUBS-CANTON,"MERRITT ATHLETIC CLUBS, B-3, LLC",LBD7
3500,BOSTON STREET,3500 BOSTON STREET,21224,N/A,SECURED CREDITOR,LB
3601,BOSTON STREET,3601 BOSTON STREET,21224,ATWATER'S,"ATWATER'S CAFE, LLC",LB
3721,BOSTON STREET,3721 BOSTON STREET,21224,IRON ROOSTER CANTON,"MISSION-DRIVEN DINING II, LLC",LB
3731,BOSTON STREET,3731 BOSTON STREET,21224,AKIRA RAMEN,"MAGIC WORK, LLC",LB
3803,BOSTON STREET,3803 BOSTON STREET,21224,THE GREENE TURTLE,"GT STORM, LLC",LB
3821,BOSTON STREET,3821 BOSTON STREET,21224,UNO PIZZERIA & GRILL,"CANTON PINNACLE, LLC",LB
3822,BOSTON STREET,3822 BOSTON STREET,21224,BARK SOCIAL,"BARK SOCIAL BALTIMORE, LLC",WD
3975,BOSTON STREET,3975 BOSTON STREET,21224,CANTON CROSSING WINE & SPIRITS,"CANTON CROSSING WINE & SPIRITS,LLC",LBD7
2200,BOSTON STREET,2200 BOSTON STREET,21231,SIP & BITE RESTAURANT,"SIP & BITE RESTAURANT, INC.",WB
2206-08,BOSTON STREET,2206-08 BOSTON STREET,21231,CASTAWAY BAR & GRILL,"LA SCALLA, INC.",LBD7
2400,BOSTON STREET SUITE 112,2400 BOSTON STREET SUITE 112,21224,CHESAPEAKE WINE COMAPNY,"NAUTICAL WINEGIRLS, LLC",LBD7
2400,BOSTON STREET SUITE 120,2400 BOSTON STREET SUITE 120,21224,REGIONALE AMERICAN SANDWICHES,"REGIONALE CANTON, LLC",LB
3600,"BOSTON STREET, SUITE 45","3600 BOSTON STREET, SUITE 45",21224,PASTA MISTA,"PASTA MISTA OF CANTON, INC.",LBD7
528,BOULDIN STREET SOUTH,528 BOULDIN STREET SOUTH,21224,JP'S,"DY BROTHERS, LLC",LBD7
4517A&B,BOWLEYS LANE,4517A&B BOWLEYS LANE,21206,HOBBIT'S LIQUORS,"SURUBY, LLC",LA
4812,BOWLEYS LANE,4812 BOWLEYS LANE,21206,R & J MARKET,"R & J MART, INC.",WA
25,BROADWAY SOUTH,25 BROADWAY SOUTH,21231,ARIZONA BAR & GRILL RESTAURANT,"ARIZONA BAR & GRILL, INC.",LD
109,BROADWAY SOUTH,109 BROADWAY SOUTH,21231,RIO BRAVO LIQUOR STORE,"LOS RIVERAS, LLC",WA
129,BROADWAY SOUTH,129 BROADWAY SOUTH,21231,ARCOS,"ARCOS, LLC",LB
207,BROADWAY SOUTH,207 BROADWAY SOUTH,21231,RESTAURANTE EL SALVADOR,"RESTAURANTE EL SALVADOR, INC.",LD
238,BROADWAY SOUTH,238 BROADWAY SOUTH,21231,SHERRY'S PLACE,,LBD7
309,BROADWAY SOUTH,309 BROADWAY SOUTH,21231,SWEET CAROLINA LIQUOR,"SURAKSHYA, LLC",LA
318,BROADWAY SOUTH,318 BROADWAY SOUTH,21231,TELA MARES RESTAURANT,"LUZ, LLC",LB
501,BROADWAY SOUTH,501 BROADWAY SOUTH,21231,BRISTOL LIQUORS,BDU NEPAL LLC,LBD7
504,BROADWAY SOUTH,504 BROADWAY SOUTH,21231,NEW RITZ,"NEW RITZ, INC.",AE
510-12,BROADWAY SOUTH,510-12 BROADWAY SOUTH,21231,POLISH HOME CLUB,"POLISH HOME CLUB, INC.",LC
606,BROADWAY SOUTH,606 BROADWAY SOUTH,21231,KIPPO RAMEN,"KIPPO RAMEN, LLC",LB
623,BROADWAY SOUTH,623 BROADWAY SOUTH,21231,LA CALLE,"LA CALLE RESTAURANT, LLC",LB
628,BROADWAY SOUTH,628 BROADWAY SOUTH,21231,BROADWAY DISCOUNT LIQUORS,"KKARKI, LLC",LBD7
700,BROADWAY SOUTH,700 BROADWAY SOUTH,21231,TODD CONNER'S,"HAPPY DOG, INC.",LBD7
702,BROADWAY SOUTH,702 BROADWAY SOUTH,21231,THE ROCKWELL,"EXILE ON BROADWAY, LLC",LBD7
704,BROADWAY SOUTH,704 BROADWAY SOUTH,21231,BLARNEY STONE PUB,"BLARNEY STONE PUB, INC.",LBD7
706,BROADWAY SOUTH,706 BROADWAY SOUTH,21231,LIL' PHIL'S TAVERN,"BOAJ, LLC",LBD7
709,BROADWAY SOUTH,709 BROADWAY SOUTH,21231,N/A,SECURED CREDITOR,LBD7
710-12,BROADWAY SOUTH,710-12 BROADWAY SOUTH,21231,ALEXANDER'S TAVERN,"ALEXANDER'S TAVERN, LLC",LB
716,BROADWAY SOUTH,716 BROADWAY SOUTH,21231,PIE IN THE SKY,"KALMER, LLC",LB
718-22,BROADWAY SOUTH,718-22 BROADWAY SOUTH,21231,N/A,CONTRACT PURCHASER,LB
719,BROADWAY SOUTH,719 BROADWAY SOUTH,21231,RODOS BAR,"PANORMITIS, INC.",LBD7
721,BROADWAY SOUTH,721 BROADWAY SOUTH,21231,MOBYS,"TOMMY, INC.",LBD7
730-34,BROADWAY SOUTH,730-34 BROADWAY SOUTH,21231,"""EAT BERTHA'S MUSSELS""","BERTHA'S, INC.",LB
731-37,BROADWAY SOUTH,731-37 BROADWAY SOUTH,21231,MAX'S ON BROADWAY,THE BETOR CORPORATION,LBD7
801,BROADWAY SOUTH,801 BROADWAY SOUTH,21231,DENZEL'S SHARK BAR & GRILL,"TARBY-RICHARDS, INC.",LB
811,BROADWAY SOUTH,811 BROADWAY SOUTH,21231,ABBEY BURGER FELLS POINT,"MILLERZ,LLC",LB
818,BROADWAY SOUTH,818 BROADWAY SOUTH,21231,ADMIRAL FELL INN,"MJ FELLS POINT, LLC",LB
813,BROADWAYSOUTH,813 BROADWAYSOUTH,21231,THE PORT COMEDY CLUB,"HURLEY COMEDY, LLC",LBD7
